course,section,sequence,exercise_id
alpha,A,1,counting_1
alpha,A,2,the_fundamental_theorem_of_arithmetic
alpha,A,3,addition-introduction
alpha,A,4,addition_1
alpha,A,5,subtraction_1
alpha,A,6,addition-and-subtraction-within-10
alpha,A,7,addition_2
alpha,A,8,subtraction_2
alpha,A,9,addition_3
alpha,A,10,subtraction_3
alpha,A,11,adding-and-subtracting-on-number-line-word-problems
alpha,A,12,adding-whole-numbers-and-applications-1
alpha,A,13,why-carrying-works
alpha,A,14,addition_4
alpha,A,15,subtraction_4
alpha,A,16,number_line
alpha,A,17,multiplication_0.5
alpha,A,18,multiplication-2-the-multiplication-tables
alpha,A,19,division-1
alpha,A,20,division_0.5
alpha,A,21,division_1
alpha,A,22,arithmetic_word_problems_1
alpha,A,23,arithmetic_word_problems_2
alpha,A,24,multiplication_1.5
alpha,A,25,multiplication_2
alpha,A,26,multiplication_3
alpha,A,27,multiplication_4
alpha,A,28,division-2
alpha,A,29,division_1.5
alpha,A,30,division_2
alpha,A,31,division_3
alpha,A,32,division_4
alpha,A,33,divisibility_0.5
alpha,A,34,place-value-1
alpha,A,35,place_value
alpha,A,36,understanding-place-value-1-exercise
alpha,A,37,rounding-whole-numbers-1
alpha,A,38,rounding-whole-numbers-2
alpha,A,39,rounding_whole_numbers
alpha,A,40,order_of_operations
alpha,A,41,the-distributive-property
alpha,A,42,the-distributive-property-2
alpha,A,43,distributive_property
alpha,A,44,arithmetic_word_problems
alpha,B,45,multiplication_1
alpha,B,46,negative-numbers-introduction
alpha,B,47,number_line_2
alpha,B,48,number_line_3
alpha,B,49,ordering-negative-numbers
alpha,B,50,ordering_negative_numbers
alpha,B,51,adding-negative-numbers
alpha,B,52,why-subtracting-a-negative-equivalent-to-adding-a-positive
alpha,B,53,adding_and_subtracting_negative_numbers
alpha,B,54,negative_number_word_problems
alpha,B,55,multiplying-positive-and-negative-numbers
alpha,B,56,dividing-positive-and-negative-numbers
alpha,B,57,multiplying_and_dividing_negative_numbers
alpha,B,58,absolute-value-and-number-lines
alpha,B,59,absolute_value
alpha,B,60,comparing-absolute-values
alpha,B,61,divisibility
alpha,B,62,divisibility_intuition
alpha,B,63,divisibility-tests-for-2-3-4-5-6-9-10
alpha,B,64,recognizing-divisibility
alpha,B,65,divisibility_tests
alpha,B,66,finding-factors-of-a-number
alpha,B,67,recognizing-prime-numbers
alpha,B,68,prime_numbers
alpha,B,69,composite_numbers
alpha,B,70,prime-factorization
alpha,B,71,prime_factorization
alpha,B,72,common-divisibility-examples
alpha,B,73,least-common-multiple-exercise
alpha,B,74,least_common_multiple
alpha,B,75,greatest-common-divisor-factor-exercise
alpha,B,76,greatest_common_divisor
alpha,C,77,comparing_whole_numbers
alpha,C,78,converting_decimals_to_percents
alpha,C,79,recognizing_fractions_0.5
alpha,C,80,numerator-and-denominator-of-a-fraction
alpha,C,81,recognizing_fractions
alpha,C,82,fractions_on_the_number_line_1
alpha,C,83,fraction_word_problems_1
alpha,C,84,visualizing-equivalent-fractions
alpha,C,85,fractions-in-lowest-terms
alpha,C,86,simplifying_fractions
alpha,C,87,equivalent-fractions
alpha,C,88,finding-common-denominators
alpha,C,89,equivalent_fractions
alpha,C,90,equivalent_fractions_2
alpha,C,91,comparing_fractions_1
alpha,C,92,comparing-fractions-2
alpha,C,93,comparing_fractions_2
alpha,C,94,ordering-fractions
alpha,C,95,ordering_fractions
alpha,C,96,adding-fractions-with-like-denominators
alpha,C,97,adding_fractions_with_common_denominators
alpha,C,98,subtracting-fractions
alpha,C,99,subtracting_fractions_with_common_denominators
alpha,C,100,adding-fractions-with-unlike-denominators
alpha,C,101,adding_fractions
alpha,C,102,subtracting_fractions
alpha,C,103,multiplying_fractions_0.5
alpha,C,104,multiplying_fractions
alpha,C,105,proper-and-improper-fractions
alpha,C,106,converting-mixed-numbers-to-improper-fractions
alpha,C,107,changing-an-improper-fraction-to-a-mixed-number
alpha,C,108,converting_mixed_numbers_and_improper_fractions
alpha,C,109,postive-improper-fractions-on-the-number-line
alpha,C,110,ordering_improper_fractions_and_mixed_numbers
alpha,C,111,fractions_on_the_number_line_2
alpha,C,112,comparing_improper_fractions_and_mixed_numbers
alpha,C,113,fractions_on_the_number_line_3
alpha,C,114,adding-mixed-numbers
alpha,C,115,adding_subtracting_mixed_numbers_0.5
alpha,C,116,dividing_fractions_0.5
alpha,C,117,dividing_fractions
